isocode,year,rtfpna,isocode,year,rtfpna,isocode,year,rtfpna
USA,1978,0.7705070972442627,CAN,1978,1.035278558731079,MEX,1978,1.325737714767456
USA,1979,0.76779937744140625,CAN,1979,1.0218113660812378,MEX,1979,1.346103310585022
USA,1980,0.7530056834220886,CAN,1980,1.003521203994751,MEX,1980,1.3495864868164062
USA,1981,0.7591724991798401,CAN,1981,1.0036829710006714,MEX,1981,1.3662800788879395
USA,1982,0.7426289916038513,CAN,1982,0.9832258820533752,MEX,1982,1.2887375354766846
USA,1983,0.7630539536476135,CAN,1983,0.993445098400116,MEX,1983,1.2136229276657104
USA,1984,0.7880086898803711,CAN,1984,1.0219427347183228,MEX,1984,1.2130910158157349
USA,1985,0.8002187609672546,CAN,1985,1.0362533330917358,MEX,1985,1.1946879625320435
USA,1986,0.8062083125114441,CAN,1986,1.0207436084747314,MEX,1986,1.1141175031661987
USA,1987,0.808937132358551,CAN,1987,1.023545742034912,MEX,1987,1.0997505187988281
USA,1988,0.8211951851844788,CAN,1988,1.0308436155319214,MEX,1988,1.0755729675292969
USA,1989,0.8304957151412964,CAN,1989,1.022287368774414,MEX,1989,1.0845842361450195
USA,1990,0.8322657942771912,CAN,1990,1.0007789134979248,MEX,1990,1.0988974571228027
USA,1991,0.828066885471344,CAN,1991,0.9740902185440063,MEX,1991,1.1010850667953491
USA,1992,0.8461574912071228,CAN,1992,0.976438581943512,MEX,1992,1.0961675643920898
USA,1993,0.8543828725814819,CAN,1993,0.9845812916755676,MEX,1993,1.0781174898147583
USA,1994,0.8667795658111572,CAN,1994,1.0047389268875122,MEX,1994,1.0766171216964722
USA,1995,0.869562566280365,CAN,1995,1.0084209442138672,MEX,1995,1.0050045251846313
USA,1996,0.8842038512229919,CAN,1996,1.0057704448699951,MEX,1996,1.023274302482605
USA,1997,0.9001898765563965,CAN,1997,1.0173662900924683,MEX,1997,1.0445234775543213
USA,1998,0.918917179107666,CAN,1998,1.0255228281021118,MEX,1998,1.0514060258865356
USA,1999,0.9413750767707825,CAN,1999,1.0469565391540527,MEX,1999,1.0501482486724854
USA,2000,0.9594316482543945,CAN,2000,1.0661041736602783,MEX,2000,1.0727753639221191
USA,2001,0.9578253030776978,CAN,2001,1.05035400390625,MEX,2001,1.0367354154586792
USA,2002,0.966916561126709,CAN,2002,1.0394744873046875,MEX,2002,1.0050327777862549
USA,2003,0.975909948348999,CAN,2003,1.0165166854858398,MEX,2003,0.9912721514701843
USA,2004,0.9920576810836792,CAN,2004,1.0086925029754639,MEX,2004,0.9949626922607422
USA,2005,1,CAN,2005,1,MEX,2005,1
USA,2006,1.0040003061294556,CAN,2006,0.99513179063797,MEX,2006,1.01175057888031
USA,2007,1.006595253944397,CAN,2007,0.9814327955245972,MEX,2007,1.0136733055114746
USA,2008,0.9984992742538452,CAN,2008,0.9583569765090942,MEX,2008,0.9915478229522705
USA,2009,0.9867377877235413,CAN,2009,0.9264822006225586,MEX,2009,0.9158785343170166
USA,2010,1.0094630718231201,CAN,2010,0.9325665831565857,MEX,2010,0.9416036605834961
USA,2011,1.020391821861267,CAN,2011,0.9294053912162781,MEX,2011,0.9557656645774841
